id	name	gender	born_in	die_in	fa_label
53	Elias Hazrati	male	Hashtrud		الیاس حضرتی
54	Hossein Pirnia				حسین پیرنیا
55	احمد میرفندرسکی		Tehran		احمد میرفندرسکی
56	Maryam Rajavi	female	Tehran		مریم رجوی
57	Nader Shah	male			نادرشاه
58	Safdar Hosseini	male			سید صفدر حسینی
59	Jamshid Bahman Jamshidian				جمشید جمشیدیان
60	Mahmoud Hessaby	male		Geneva	محمود حسابی
61	ابوالحسن خان مشیرالملک				ابوالحسن خان مشیرالملک
62	Ali Qoli Khan Bakhtiari	male			علیقلی خان سردار اسعد
63	Ali Amini	male	Tehran	Paris	علی امینی
64	تهمورس آدمیت		Tehran	Tehran	تهمورس آدمیت
65	Mohsen Hashemi Rafsanjani		Kerman		محسن هاشمی رفسنجانی
66	Morteza Motahhari	male	Fariman	Tehran	مرتضی مطهری
67	Mehdi Qoli Hedayat	male	Tehran	Tehran	مهدی‌قلی هدایت
68	Rashid al Din Hamadani	male			رشیدالدین فضل‌الله همدانی
69	فیض‌الله عرب‌سرخی				فیض‌الله عرب‌سرخی
70	فرامرز اسدی				فرامرز اسدی
71	Morteza Alviri	male	Tehran		مرتضی الویری
72	Mahmoud Vaezi	male			محمود واعظی
73	Gholam Ali Haddad Adel	male	Tehran		غلامعلی حداد عادل
74	Nizam al Mulk	male	Tus, Iran	Nahavand	نظام‌الملک
75	Mojtaba Khamenei	male			سید مجتبی خامنه‌ای
76	Mahmoud Alavi	male	Lamerd		سید محمود علوی
77	Mirza Ali Asghar Khan Amin al Sultan		Tehran	Tehran	علی‌اصغر اتابک
78	Hossein Kamali	male			حسین کمالی
79	Mirza Abolhassan Khan Ilchi	male			ابوالحسن شیرازی
80	es/Seyyed Abdollah Behbahaní				سید عبدالله بهبهانی
81	هادی نژادحسینیان		Tehran		هادی نژادحسینیان
82	میرزا محمدعلی سیوندی				میرزا محمدعلی سیوندی
83	Faezeh Hashemi	female	Tehran		فائزه هاشمی رفسنجانی
84	Ali Akbar Mousavi Khoeini	male			علی‌اکبر موسوی خوئینی
85	Mohammad Salimi	male			محمد سلیمی
86	Ghorbanali Dorri Najafabadi	male	Rey, Iran		قربانعلی دری نجف‌آبادی
87	Sadeq Larijani	male	Najaf		صادق لاریجانی
88	Tahmasb Mazaheri	male	Tehran		طهماسب مظاهری
89	مهدی کلهر				مهدی کلهر
90	Imam Quli Khan	male			امامقلی خان
91	Ahmad Masjed Jamei	male	Tehran		احمد مسجدجامعی
92	Ali Shariatmadari	male	Shiraz		علی شریعتمداری
93	Mohammad Reza Mahdavi Kani	male	Tehran		محمدرضا مهدوی کنی
94	Abbas Ahmad Akhoundi	male			عباس احمد آخوندی
95	مجید آهی		Tehran	Tehran	مجید آهی
96	Haji Baba Sheikh	male			حاجی باباشیخ
97	Saeed Emami	male			سعید امامی
98	Manouchehr Eghbal	male	Mashhad	Tehran	منوچهر اقبال
99	Haji Washington	male			حسینقلی صدرالسلطنه
100	Fazlollah Zahedi	male	Hamedan	Geneva	فضل‌الله زاهدی
101	Amir Kabir	male	Arak, Iran	Kashan	امیرکبیر
102	Ali Dashti	male			علی دشتی
103	Rezā Shāh	male	Alasht	Johannesburg	رضاشاه
104	ناصر سبحاني				ناصر سبحانی
105	Fathollah Khan Akbar	male	Rasht	Tehran	فتح‌الله خان اکبر
106	Ghaem Magham Farahani	male	Arak, Iran	Tehran	قائم‌مقام فراهانی
107	Ziaeddin Tabatabaee	male	Shiraz	Tehran	سید ضیاءالدین طباطبایی
108	Mohammad Mehdi Zahedi	male	Kerman		محمدمهدی زاهدی
109	Kamal Kharazi	male	Tehran		کمال خرازی
110	Azizkhan Mokri				عزیزخان مکری
111	Javad Arianmanesh	male			جواد آرین منش
112	احمد خان ملک ساسانی				احمد خان ملک ساسانی
113	Abdul Karim Mousavi Ardebili	male	Ardabil		سید عبدالکریم موسوی اردبیلی
114	Hassan Kazemi Qumi				حسن کاظمی قمی
115	امیر مفخم بختیاری				امیر مفخم بختیاری
116	عبدالقدیر آزاد				عبدالقدیر آزاد
117	Ardeshir Zahedi	male	Tehran		اردشیر زاهدی
118	Akbar Mohammadi (student)	male	Amol	Tehran	اکبر محمدی (فعال دانشجویی)
119	Hussein Ali Montazeri	male	Najafabad	Qom	حسینعلی منتظری
120	Yahya Ale Eshaq	male	Qom		یحیی آل‌اسحاق
121	Nasser Hejazi	male	Tehran	Tehran	ناصر حجازی
122	Ataollah Salehi	male	Tehran		سید عطاءالله صالحی
123	محمدجواد فریدزاده				محمدجواد فریدزاده
124	Ahmad Amir Ahmadi	male	Tehran	Tehran	احمد امیراحمدی
125	اسدالله بادامچیان				اسدالله بادامچیان
126	Nematollah Nassiri	male	Semnan, Iran	Tehran	نعمت‌الله نصیری
127	Ahmad Sayyed Javadi	male	Qazvin	Tehran	احمد صدر حاج‌سیدجوادی
128	Jamileh Kadivar	female	Fasa		جمیله کدیور
129	عبدالرحیم گواهی				عبدالرحیم گواهی
130	Akbar Mohammadi (student)	male	Amol	Tehran	اکبر محمدی
131	Mohammad Ali Rajai	male	Qazvin	Tehran	محمدعلی رجایی
132	روح‌الله قهرمانی چابک		Chaboksar		روح‌الله قهرمانی چابک
